first_name,last_name,full_name,nationality,player_url,2017-2018_team,2017-2018_avg_min,2018-2019_team,2018-2019_avg_min,2021-2022_team,2021-2022_avg_min,2022-2023_team,2022-2023_avg_min,2023-2024_team,2023-2024_avg_min,2024-2025_team,2024-2025_avg_min
Léon Seilala,LAM,Léon Seilala Lam,Samoa américain,https://top14.lnr.fr/joueur/2008-leon-seilala-lam,,,USA Perpignan,45.0,USA Perpignan,51.9,,,USA Perpignan,42.4,USA Perpignan,35.9
Victor,MONTGAILLARD,Victor Montgaillard,France,https://top14.lnr.fr/joueur/2009-victor-montgaillard,,,,,USA Perpignan,16.0,USA Perpignan,38.3,USA Perpignan,23.7,USA Perpignan,34.0
Lucas,DUBOIS,Lucas Dubois,France,https://top14.lnr.fr/joueur/2010-lucas-dubois,,,,,USA Perpignan,54.3,USA Perpignan,76.0,USA Perpignan,65.2,USA Perpignan,75.5
Akato,FAKATIKA,Akato Fakatika,France,https://top14.lnr.fr/joueur/2022-akato-fakatika,,,,,USA Perpignan,25.7,,,USA Perpignan,19.2,USA Perpignan,29.7
Sacha,LOTRIAN,Sacha Lotrian,France,https://top14.lnr.fr/joueur/2023-sacha-lotrian,,,,,USA Perpignan,45.4,,,USA Perpignan,43.3,ASM Clermont,45.6
Lucas,VELARTE,Lucas Velarte,France,https://top14.lnr.fr/joueur/2025-lucas-velarte,,,,,USA Perpignan,37.5,,,USA Perpignan,38.2,USA Perpignan,61.2
Ibrahim,DIALLO,Ibrahim Diallo,France,https://top14.lnr.fr/joueur/2148-ibrahim-diallo,,,Racing 92,22.1,Racing 92,66.8,Racing 92,70.7,Racing 92,56.4,Racing 92,64.2
Antoine,GIBERT,Antoine Gibert,France,https://top14.lnr.fr/joueur/2150-antoine-gibert,Racing 92,25.1,Racing 92,10.1,Racing 92,43.0,Racing 92,43.9,Racing 92,62.0,Racing 92,38.9
Donovan,TAOFIFENUA,Donovan Taofifenua,France,https://top14.lnr.fr/joueur/2151-donovan-taofifenua,,,,,Racing 92,71.0,Racing 92,80.8,Racing 92,57.7,Racing 92,64.0
Louis,DUPICHOT,Louis Dupichot,France,https://top14.lnr.fr/joueur/2170-louis-dupichot,Racing 92,65.0,Racing 92,70.2,Racing 92,56.6,Racing 92,70.2,USA Perpignan,77.6,USA Perpignan,61.2
Baptiste,CHOUZENOUX,Baptiste Chouzenoux,France,https://top14.lnr.fr/joueur/2171-baptiste-chouzenoux,Racing 92,57.7,Racing 92,66.5,Racing 92,65.1,Racing 92,62.3,Racing 92,65.2,Aviron Bayonnais,57.0
Guram,GOGICHASHVILI,Guram Gogichashvili,Géorgie,https://top14.lnr.fr/joueur/2190-guram-gogichashvili,,,Racing 92,38.8,Racing 92,41.1,Racing 92,46.3,Racing 92,36.1,Racing 92,47.6
Anthime,HEMERY,Anthime Hemery,France,https://top14.lnr.fr/joueur/2195-anthime-hemery,,,,,Racing 92,43.1,Racing 92,39.3,,,ASM Clermont,33.8
